302 evaluations
Parameters
==========

NCORES: 12, 
TIMES: [  0. -10.] Gyr, 
N_ARMS: 2, 
PHI0: 75.0 deg, 
LIFETIME: [0.12 0.12 0.24 0.24] Gyr, 
SIGMA: 0.04285714285714286 Gyr, 
T0: -0.29 Gyr, 
AMP: 0.0136 solMass / pc3, 
HSCALE: 1.0 kpc, 
RSCALE: 2.4 kpc, 
ALPHA: 12.0 deg, 
RREF: 8.0 kpc, 
OMEGA: 0.0 km / (kpc s), 
BETA: -0.1, 
RRANGE: 5, 15, 
PHIRANGE: -1.5707963267948966, 1.5707963267948966, 
DR: 1.0, 
DPHI: 1.0, 
VPARMS: 5, 5, 8, 8, 
SIGMAPARMS: 30, 20, 20, 
SCALEPARMS: 2, 9.8, 7.6, 
EVAL_THRESH: 0.0001, 
==========

R=5.5 kpc, phi=-1.5 rad, t=465 s
R=5.5 kpc, phi=-1.3 rad, t=461 s
R=5.5 kpc, phi=-1.1 rad, t=459 s
R=5.5 kpc, phi=-0.9 rad, t=443 s
R=5.5 kpc, phi=-0.7 rad, t=442 s
R=5.5 kpc, phi=-0.5 rad, t=459 s
R=5.5 kpc, phi=-0.3 rad, t=453 s
R=5.5 kpc, phi=-0.1 rad, t=442 s
R=5.5 kpc, phi=0.1 rad, t=433 s
R=5.5 kpc, phi=0.3 rad, t=431 s
R=5.5 kpc, phi=0.5 rad, t=423 s
R=5.5 kpc, phi=0.7 rad, t=402 s
R=5.5 kpc, phi=0.9 rad, t=394 s
R=5.5 kpc, phi=1.1 rad, t=404 s
R=5.5 kpc, phi=1.3 rad, t=404 s
R=5.5 kpc, phi=1.5 rad, t=395 s
R=6.5 kpc, phi=-1.5 rad, t=342 s
R=6.5 kpc, phi=-1.33 rad, t=342 s
R=6.5 kpc, phi=-1.17 rad, t=342 s
R=6.5 kpc, phi=-1.0 rad, t=298 s
R=6.5 kpc, phi=-0.83 rad, t=292 s
R=6.5 kpc, phi=-0.67 rad, t=299 s
R=6.5 kpc, phi=-0.5 rad, t=320 s
R=6.5 kpc, phi=-0.33 rad, t=342 s
R=6.5 kpc, phi=-0.17 rad, t=342 s
R=6.5 kpc, phi=0.0 rad, t=341 s
R=6.5 kpc, phi=0.17 rad, t=377 s
R=6.5 kpc, phi=0.33 rad, t=376 s
R=6.5 kpc, phi=0.5 rad, t=333 s
R=6.5 kpc, phi=0.67 rad, t=345 s
R=6.5 kpc, phi=0.83 rad, t=342 s
R=6.5 kpc, phi=1.0 rad, t=349 s
R=6.5 kpc, phi=1.17 rad, t=366 s
R=6.5 kpc, phi=1.33 rad, t=364 s
R=6.5 kpc, phi=1.5 rad, t=354 s
R=7.5 kpc, phi=-1.5 rad, t=282 s
R=7.5 kpc, phi=-1.36 rad, t=284 s
R=7.5 kpc, phi=-1.21 rad, t=278 s
R=7.5 kpc, phi=-1.07 rad, t=275 s
R=7.5 kpc, phi=-0.93 rad, t=270 s
R=7.5 kpc, phi=-0.79 rad, t=234 s
R=7.5 kpc, phi=-0.64 rad, t=270 s
R=7.5 kpc, phi=-0.5 rad, t=275 s
R=7.5 kpc, phi=-0.36 rad, t=276 s
R=7.5 kpc, phi=-0.21 rad, t=275 s
R=7.5 kpc, phi=-0.07 rad, t=275 s
R=7.5 kpc, phi=0.07 rad, t=275 s
R=7.5 kpc, phi=0.21 rad, t=274 s
R=7.5 kpc, phi=0.36 rad, t=274 s
R=7.5 kpc, phi=0.5 rad, t=275 s
R=7.5 kpc, phi=0.64 rad, t=270 s
R=7.5 kpc, phi=0.79 rad, t=234 s
R=7.5 kpc, phi=0.93 rad, t=316 s
R=7.5 kpc, phi=1.07 rad, t=321 s
R=7.5 kpc, phi=1.21 rad, t=321 s
R=7.5 kpc, phi=1.36 rad, t=321 s
R=7.5 kpc, phi=1.5 rad, t=321 s
R=8.5 kpc, phi=-1.56 rad, t=261 s
R=8.5 kpc, phi=-1.44 rad, t=261 s
R=8.5 kpc, phi=-1.31 rad, t=260 s
R=8.5 kpc, phi=-1.19 rad, t=261 s
R=8.5 kpc, phi=-1.06 rad, t=261 s
R=8.5 kpc, phi=-0.94 rad, t=253 s
R=8.5 kpc, phi=-0.81 rad, t=252 s
R=8.5 kpc, phi=-0.69 rad, t=244 s
R=8.5 kpc, phi=-0.56 rad, t=244 s
R=8.5 kpc, phi=-0.44 rad, t=244 s
R=8.5 kpc, phi=-0.31 rad, t=244 s
R=8.5 kpc, phi=-0.19 rad, t=243 s
R=8.5 kpc, phi=-0.06 rad, t=238 s
R=8.5 kpc, phi=0.06 rad, t=236 s
R=8.5 kpc, phi=0.19 rad, t=236 s
R=8.5 kpc, phi=0.31 rad, t=232 s
R=8.5 kpc, phi=0.44 rad, t=229 s
R=8.5 kpc, phi=0.56 rad, t=228 s
R=8.5 kpc, phi=0.69 rad, t=229 s
R=8.5 kpc, phi=0.81 rad, t=227 s
R=8.5 kpc, phi=0.94 rad, t=261 s
R=8.5 kpc, phi=1.06 rad, t=261 s
R=8.5 kpc, phi=1.19 rad, t=261 s
R=8.5 kpc, phi=1.31 rad, t=261 s
R=8.5 kpc, phi=1.44 rad, t=261 s
R=8.5 kpc, phi=1.56 rad, t=261 s
R=9.5 kpc, phi=-1.56 rad, t=214 s
R=9.5 kpc, phi=-1.44 rad, t=214 s
R=9.5 kpc, phi=-1.33 rad, t=214 s
R=9.5 kpc, phi=-1.22 rad, t=214 s
R=9.5 kpc, phi=-1.11 rad, t=214 s
R=9.5 kpc, phi=-1.0 rad, t=215 s
R=9.5 kpc, phi=-0.89 rad, t=208 s
R=9.5 kpc, phi=-0.78 rad, t=208 s
R=9.5 kpc, phi=-0.67 rad, t=205 s
R=9.5 kpc, phi=-0.56 rad, t=200 s
R=9.5 kpc, phi=-0.44 rad, t=200 s
R=9.5 kpc, phi=-0.33 rad, t=200 s
