302 evaluations
Parameters
==========

NCORES: 12, 
TIMES: [  0. -10.] Gyr, 
N_ARMS: 2, 
PHI0: 75.0 deg, 
LIFETIME: [0.12 0.12 0.24 0.24] Gyr, 
SIGMA: 0.02142857142857143 Gyr, 
T0: -0.29 Gyr, 
AMP: 0.136 solMass / pc3, 
HSCALE: 1.0 kpc, 
RSCALE: 2.4 kpc, 
ALPHA: 12.0 deg, 
RREF: 8.0 kpc, 
OMEGA: 0.0 km / (kpc s), 
BETA: -0.1, 
RRANGE: 5, 15, 
PHIRANGE: -1.5707963267948966, 1.5707963267948966, 
DR: 1.0, 
DPHI: 1.0, 
VPARMS: 5, 5, 8, 8, 
SIGMAPARMS: 30, 20, 20, 
SCALEPARMS: 2, 9.8, 7.6, 
EVAL_THRESH: 0.0001, 
==========

R=5.5 kpc, phi=-1.5 rad, t=458 s
R=5.5 kpc, phi=-1.3 rad, t=456 s
R=5.5 kpc, phi=-1.1 rad, t=464 s
R=5.5 kpc, phi=-0.9 rad, t=442 s
R=5.5 kpc, phi=-0.7 rad, t=435 s
R=5.5 kpc, phi=-0.5 rad, t=456 s
R=5.5 kpc, phi=-0.3 rad, t=457 s
R=5.5 kpc, phi=-0.1 rad, t=459 s
R=5.5 kpc, phi=0.1 rad, t=460 s
R=5.5 kpc, phi=0.3 rad, t=459 s
R=5.5 kpc, phi=0.5 rad, t=458 s
R=5.5 kpc, phi=0.7 rad, t=440 s
R=5.5 kpc, phi=0.9 rad, t=345 s
R=5.5 kpc, phi=1.1 rad, t=462 s
R=5.5 kpc, phi=1.3 rad, t=460 s
R=5.5 kpc, phi=1.5 rad, t=473 s
R=6.5 kpc, phi=-1.5 rad, t=409 s
R=6.5 kpc, phi=-1.33 rad, t=406 s
R=6.5 kpc, phi=-1.17 rad, t=406 s
R=6.5 kpc, phi=-1.0 rad, t=349 s
R=6.5 kpc, phi=-0.83 rad, t=332 s
R=6.5 kpc, phi=-0.67 rad, t=340 s
R=6.5 kpc, phi=-0.5 rad, t=348 s
R=6.5 kpc, phi=-0.33 rad, t=392 s
R=6.5 kpc, phi=-0.17 rad, t=392 s
R=6.5 kpc, phi=0.0 rad, t=390 s
R=6.5 kpc, phi=0.17 rad, t=402 s
R=6.5 kpc, phi=0.33 rad, t=401 s
R=6.5 kpc, phi=0.5 rad, t=363 s
R=6.5 kpc, phi=0.67 rad, t=350 s
R=6.5 kpc, phi=0.83 rad, t=341 s
R=6.5 kpc, phi=1.0 rad, t=350 s
R=6.5 kpc, phi=1.17 rad, t=403 s
R=6.5 kpc, phi=1.33 rad, t=405 s
R=6.5 kpc, phi=1.5 rad, t=404 s
R=7.5 kpc, phi=-1.5 rad, t=319 s
R=7.5 kpc, phi=-1.36 rad, t=320 s
R=7.5 kpc, phi=-1.21 rad, t=322 s
R=7.5 kpc, phi=-1.07 rad, t=323 s
R=7.5 kpc, phi=-0.93 rad, t=317 s
R=7.5 kpc, phi=-0.79 rad, t=274 s
R=7.5 kpc, phi=-0.64 rad, t=316 s
R=7.5 kpc, phi=-0.5 rad, t=323 s
R=7.5 kpc, phi=-0.36 rad, t=324 s
R=7.5 kpc, phi=-0.21 rad, t=325 s
R=7.5 kpc, phi=-0.07 rad, t=322 s
R=7.5 kpc, phi=0.07 rad, t=314 s
R=7.5 kpc, phi=0.21 rad, t=311 s
R=7.5 kpc, phi=0.36 rad, t=309 s
R=7.5 kpc, phi=0.5 rad, t=308 s
R=7.5 kpc, phi=0.64 rad, t=294 s
R=7.5 kpc, phi=0.79 rad, t=259 s
R=7.5 kpc, phi=0.93 rad, t=313 s
R=7.5 kpc, phi=1.07 rad, t=316 s
R=7.5 kpc, phi=1.21 rad, t=318 s
R=7.5 kpc, phi=1.36 rad, t=317 s
R=7.5 kpc, phi=1.5 rad, t=319 s
R=8.5 kpc, phi=-1.56 rad, t=264 s
R=8.5 kpc, phi=-1.44 rad, t=264 s
R=8.5 kpc, phi=-1.31 rad, t=264 s
R=8.5 kpc, phi=-1.19 rad, t=263 s
R=8.5 kpc, phi=-1.06 rad, t=263 s
R=8.5 kpc, phi=-0.94 rad, t=263 s
R=8.5 kpc, phi=-0.81 rad, t=261 s
R=8.5 kpc, phi=-0.69 rad, t=261 s
R=8.5 kpc, phi=-0.56 rad, t=261 s
R=8.5 kpc, phi=-0.44 rad, t=261 s
R=8.5 kpc, phi=-0.31 rad, t=261 s
R=8.5 kpc, phi=-0.19 rad, t=260 s
R=8.5 kpc, phi=-0.06 rad, t=259 s
R=8.5 kpc, phi=0.06 rad, t=258 s
R=8.5 kpc, phi=0.19 rad, t=257 s
R=8.5 kpc, phi=0.31 rad, t=257 s
R=8.5 kpc, phi=0.44 rad, t=257 s
R=8.5 kpc, phi=0.56 rad, t=258 s
R=8.5 kpc, phi=0.69 rad, t=258 s
R=8.5 kpc, phi=0.81 rad, t=258 s
R=8.5 kpc, phi=0.94 rad, t=260 s
R=8.5 kpc, phi=1.06 rad, t=261 s
R=8.5 kpc, phi=1.19 rad, t=262 s
R=8.5 kpc, phi=1.31 rad, t=262 s
R=8.5 kpc, phi=1.44 rad, t=263 s
R=8.5 kpc, phi=1.56 rad, t=263 s
R=9.5 kpc, phi=-1.56 rad, t=214 s
R=9.5 kpc, phi=-1.44 rad, t=214 s
R=9.5 kpc, phi=-1.33 rad, t=214 s
R=9.5 kpc, phi=-1.22 rad, t=214 s
R=9.5 kpc, phi=-1.11 rad, t=217 s
R=9.5 kpc, phi=-1.0 rad, t=220 s
R=9.5 kpc, phi=-0.89 rad, t=214 s
R=9.5 kpc, phi=-0.78 rad, t=214 s
R=9.5 kpc, phi=-0.67 rad, t=214 s
R=9.5 kpc, phi=-0.56 rad, t=214 s
R=9.5 kpc, phi=-0.44 rad, t=214 s
R=9.5 kpc, phi=-0.33 rad, t=214 s
